Type of access,API,file path,Team owner
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_index_info.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_frequent_item_sets.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_mini_histograms_for_significant_groups.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_mini_histograms_for_significant_items.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_significant_term_p_values.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_top_terms.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_top_terms.test.ts,elastic/ml-ui
AsCurrentUser,msearch,msearch,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_terms_2_categories_counts.ts,elastic/ml-ui
AsCurrentUser,msearch,msearch,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_categories.ts,elastic/ml-ui
AsCurrentUser,msearch,msearch,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_category_counts.ts,elastic/ml-ui
AsCurrentUser,msearch,msearch,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_top_categories.test.ts,elastic/ml-ui
AsCurrentUser,fieldCaps,fieldCaps,x-pack/platform/packages/shared/ml/aiops_log_rate_analysis/queries/fetch_field_candidates.ts,elastic/ml-ui
AsCurrentUser,search,search,src/platform/packages/shared/content-management/favorites/favorites_server/src/favorites_usage_collection.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/core/packages/saved-objects/api-server-internal/src/lib/apis/find.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/saved-objects/migration-server-internal/src/actions/read_with_pit.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/saved-objects/migration-server-internal/src/actions/check_for_unknown_docs.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/saved-objects/migration-server-internal/src/actions/calculate_exclude_filters.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/usage-data/server-internal/src/core_usage_data_service.test.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/saved-objects/api-server-internal/src/test_helpers/repository.test.common.ts,elastic/kibana-core
AsCurrentUser,search,search,src/core/packages/saved-objects/api-server-internal/src/lib/repository.encryption_extension.test.ts,elastic/kibana-core
AsCurrentUser,asyncSearch,asyncSearch,src/core/packages/elasticsearch/server-internal/src/retry_call_cluster.test.ts,elastic/kibana-core
AsCurrentUser,count,count,src/core/packages/usage-data/server-internal/src/core_usage_data_service.test.ts,elastic/kibana-core
AsInternal,search,search,src/core/packages/usage-data/server-internal/src/core_usage_data_service.ts,elastic/kibana-core
AsInternal,count,count,src/core/packages/usage-data/server-internal/src/core_usage_data_service.ts,elastic/kibana-core
AsCurrentUser,search,search,x-pack/platform/packages/private/ml/agg_utils/src/fetch_agg_intervals.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/private/ml/agg_utils/src/fetch_histograms_for_fields.ts,elastic/ml-ui
AsCurrentUser,search,search,x-pack/platform/packages/private/ml/category_validator/src/examples.ts,elastic/ml-ui
AsCurrentUser,Indices.resolveIndex,resolveIndex,x-pack/solutions/observability/packages/utils-server/entities/get_data_streams_for_entity.ts,elastic/observability-ui
AsCurrentUser,search,search,src/platform/packages/shared/kbn-search-connectors/lib/collect_connector_stats.ts,elastic/search-kibana
AsCurrentUser,search,search,x-pack/platform/packages/shared/kbn-search-index-documents/lib/fetch_search_results.ts,elastic/search-kibana
AsCurrentUser,search,search,src/platform/packages/shared/kbn-storage-adapter/src/index_adapter/index.ts,elastic/observability-ui
