ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.0.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.0.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.0.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.0.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.0.0,true,host,host.name,keyword,core,,,Name of the host.
8.0.0,true,log,log.level,keyword,core,,error,Log level of the log event.
8.0.0,true,log,log.logger,keyword,core,,org.elasticsearch.bootstrap.Bootstrap,Name of the logger.
8.0.0,true,processor,processor.accepted,long,custom,,,The number of accepted messages
8.0.0,true,processor,processor.bytes,unsigned_long,custom,,,The number of bytes processed
8.0.0,true,processor,processor.latency,histogram,custom,,,The latency per message processed
8.0.0,true,processor,processor.outcome,keyword,custom,,,The outcome of the events
8.0.0,true,processor,processor.processed,long,custom,,,The number of processed messages
8.0.0,true,processor,processor.timeSpent,unsigned_long,custom,,,The millisecond spent processing messages
