ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.0.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.0.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.0.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.0.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.0.0,true,host,host.name,keyword,core,,,Name of the host.
8.0.0,true,log,log.level,keyword,core,,error,Log level of the log event.
8.0.0,true,log,log.logger,keyword,core,,org.elasticsearch.bootstrap.Bootstrap,Name of the logger.
8.0.0,true,mongodb,mongodb.action,keyword,custom,,,The action being taken
8.0.0,true,mongodb,mongodb.collection,keyword,custom,,,The name of the collection
8.0.0,true,mongodb,mongodb.component,keyword,custom,,,Component of the message
8.0.0,true,mongodb,mongodb.context,keyword,custom,,,Context of the message
8.0.0,true,mongodb,mongodb.database,keyword,custom,,,The name of the database
