iso_time,phase,step,cumulative_indices_requested,indices_count,shards_total,total_field_count,total_dedup_field_count,docs_count,store_size_bytes,cluster_status,heap_used_bytes,heap_used_percent,note
2026-08-26T15:14:21.287Z,baseline,0,0,59,59,18676,16456,2688,592149513,yellow,1121086560,52,
2026-08-26T15:14:59.330Z,immediate,1,100,159,159,28676,16556,2888,597504863,yellow,1329475792,61,
2026-08-26T15:14:59.340Z,stabilized,1,100,159,159,28676,16556,2888,597504863,yellow,1329475792,61,retained_min
2026-08-26T15:15:48.301Z,immediate,2,200,259,259,38676,16556,3130,602844260,yellow,1169697104,54,
2026-08-26T15:15:48.313Z,stabilized,2,200,259,259,38676,16556,3130,602844260,yellow,1169697104,54,retained_min
2026-08-26T15:16:37.456Z,immediate,3,300,359,359,48676,16556,3386,608250994,yellow,631504960,29,
2026-08-26T15:16:37.469Z,stabilized,3,300,359,359,48676,16556,3386,608250994,yellow,631504960,29,retained_min
2026-08-26T15:17:28.467Z,immediate,4,400,459,459,58676,16556,3628,613622565,yellow,870569088,40,
2026-08-26T15:17:28.481Z,stabilized,4,400,459,459,58676,16556,3628,613622565,yellow,870569088,40,retained_min
2026-08-26T15:18:18.890Z,immediate,5,500,559,559,68676,16556,3870,619108558,yellow,698327904,32,
2026-08-26T15:18:18.907Z,stabilized,5,500,559,559,68676,16556,3870,619108558,yellow,698327904,32,retained_min
2026-08-26T15:19:10.636Z,immediate,6,600,659,659,78676,16556,4070,624455518,yellow,1279821272,59,
2026-08-26T15:19:10.653Z,stabilized,6,600,659,659,78676,16556,4070,624455518,yellow,1279821272,59,retained_min
2026-08-26T15:20:05.499Z,immediate,7,700,759,759,88676,16556,4312,629770787,yellow,1445863096,67,
2026-08-26T15:20:05.516Z,stabilized,7,700,759,759,88676,16556,4312,629770787,yellow,1445863096,67,retained_min
2026-08-26T15:21:00.984Z,immediate,8,800,859,859,98676,16556,4554,635150278,yellow,1182374384,55,
2026-08-26T15:21:01.006Z,stabilized,8,800,859,859,98676,16556,4554,635150278,yellow,1182374384,55,retained_min
2026-08-26T15:21:56.085Z,immediate,9,900,959,959,108676,16556,4828,640622230,yellow,1706008840,79,
2026-08-26T15:22:01.130Z,stabilized,9,900,959,959,108676,16556,4828,640623396,yellow,567197272,26,retained_min
2026-08-26T15:22:51.784Z,immediate,10,1000,1059,1059,118676,16556,5074,646061021,yellow,1730505792,80,
2026-08-26T15:22:56.848Z,stabilized,10,1000,1059,1059,118676,16556,5074,646062187,yellow,600672944,27,retained_min
2026-08-26T15:23:46.829Z,immediate,11,1100,1159,1159,128676,16556,5316,651328763,yellow,1221438448,56,
2026-08-26T15:23:46.852Z,stabilized,11,1100,1159,1159,128676,16556,5316,651328763,yellow,1221438448,56,retained_min
2026-08-26T15:24:53.125Z,immediate,12,1200,1259,1259,138676,16556,5560,656743020,yellow,1491577840,69,
2026-08-26T15:24:53.149Z,stabilized,12,1200,1259,1259,138676,16556,5560,656743020,yellow,1491577840,69,retained_min
2026-08-26T15:25:55.056Z,immediate,13,1300,1359,1359,148676,16556,5802,662075708,yellow,1275216016,59,
2026-08-26T15:25:55.079Z,stabilized,13,1300,1359,1359,148676,16556,5802,662075708,yellow,1275216016,59,retained_min
2026-08-26T15:26:58.665Z,immediate,14,1400,1459,1459,158676,16556,6058,667531016,yellow,1803057312,83,
2026-08-26T15:27:08.756Z,stabilized,14,1400,1459,1459,158676,16556,6058,667432752,yellow,695427776,32,retained_min
2026-08-26T15:28:01.504Z,immediate,15,1500,1559,1559,168676,16556,6298,672891677,yellow,1862926256,86,
2026-08-26T15:28:06.571Z,stabilized,15,1500,1559,1559,168676,16556,6298,672892313,yellow,721641824,33,retained_min
2026-08-26T15:29:04.589Z,immediate,16,1600,1659,1659,178676,16556,6540,678860502,yellow,1795771312,83,
2026-08-26T15:29:14.695Z,stabilized,16,1600,1659,1659,178676,16556,6540,678721389,yellow,729960920,33,retained_min
2026-08-26T15:30:09.035Z,immediate,17,1700,1759,1759,188676,16556,6792,683211982,yellow,1701935168,79,
2026-08-26T15:30:09.064Z,stabilized,17,1700,1759,1759,188676,16556,6792,683211982,yellow,1701935168,79,retained_min
2026-08-26T15:31:12.589Z,immediate,18,1800,1859,1859,198676,16556,7034,688676600,yellow,1628354584,75,
2026-08-26T15:31:12.618Z,stabilized,18,1800,1859,1859,198676,16556,7034,688676600,yellow,1628354584,75,retained_min
2026-08-26T15:32:17.143Z,immediate,19,1900,1959,1959,208676,16556,7300,694074992,yellow,1607795520,74,
2026-08-26T15:32:17.173Z,stabilized,19,1900,1959,1959,208676,16556,7300,694074992,yellow,1607795520,74,retained_min
