iso_time,phase,step,cumulative_indices_requested,indices_count,shards_total,total_field_count,total_dedup_field_count,docs_count,store_size_bytes,cluster_status,heap_used_bytes,heap_used_percent,note
2026-08-26T15:51:03.944Z,baseline,0,0,80,80,20776,18556,3670,593533237,yellow,830814888,38,
2026-08-26T15:51:55.493Z,immediate,1,100,180,180,30776,28556,3983,599124674,yellow,1629933448,75,
2026-08-26T15:51:55.504Z,stabilized,1,100,180,180,30776,28556,3983,599124674,yellow,1629933448,75,retained_min
2026-08-26T15:52:49.730Z,immediate,2,200,280,280,40776,38556,4227,604733924,yellow,1598010064,74,
2026-08-26T15:52:54.754Z,stabilized,2,200,280,280,40776,38556,4227,604733924,yellow,665908416,31,retained_min
2026-08-26T15:53:46.128Z,immediate,3,300,380,380,50776,48556,4469,610361631,yellow,837707504,39,
2026-08-26T15:53:46.140Z,stabilized,3,300,380,380,50776,48556,4469,610361631,yellow,837707504,39,retained_min
2026-08-26T15:54:40.949Z,immediate,4,400,480,480,60776,58556,4712,616032521,yellow,1044406944,48,
2026-08-26T15:54:40.962Z,stabilized,4,400,480,480,60776,58556,4712,616032521,yellow,1044406944,48,retained_min
2026-08-26T15:55:35.782Z,immediate,5,500,580,580,70776,68556,4956,621623543,yellow,906305688,42,
2026-08-26T15:55:35.797Z,stabilized,5,500,580,580,70776,68556,4956,621623543,yellow,906305688,42,retained_min
2026-08-26T15:56:33.051Z,immediate,6,600,680,680,80776,78556,5212,627204897,yellow,448144744,20,
2026-08-26T15:56:33.066Z,stabilized,6,600,680,680,80776,78556,5212,627204897,yellow,448144744,20,retained_min
2026-08-26T15:57:33.025Z,immediate,7,700,780,780,90776,88556,5454,632806359,yellow,898715760,41,
2026-08-26T15:57:43.091Z,stabilized,7,700,780,780,90776,88556,5454,632847147,yellow,488915200,22,retained_min
2026-08-26T15:58:34.183Z,immediate,8,800,880,880,100776,98556,5698,638452135,yellow,1048047184,48,
2026-08-26T15:58:39.230Z,stabilized,8,800,880,880,100776,98556,5698,638453301,yellow,698873976,32,retained_min
2026-08-26T16:00:00.016Z,immediate,9,900,980,980,110776,108556,5940,644066312,yellow,958286880,44,
2026-08-26T16:00:05.114Z,stabilized,9,900,980,980,110776,108556,5940,644068856,yellow,703769184,32,retained_min
2026-08-26T16:02:10.961Z,breaking_point,10,1000,1070,1070,119876,117656,6224,649210706,yellow,1562819032,72,fetch failed
