iso_time,phase,step,cumulative_indices_requested,indices_count,shards_total,total_field_count,total_dedup_field_count,docs_count,store_size_bytes,cluster_status,heap_used_bytes,heap_used_percent,note
2026-08-26T17:04:21.760Z,post_gc,0,0,6,6,54,54,635,2415294,green,239584768,3,post_gc_live_set
2026-08-26T17:04:42.908Z,immediate,1,50,56,56,2054,2054,1635,7168248,green,1632093696,25,
2026-08-26T17:04:47.200Z,post_gc,1,50,56,56,2054,2054,1635,7168248,green,261878344,4,post_gc_live_set
2026-08-26T17:05:08.268Z,immediate,2,100,106,106,4054,4054,2635,11921757,green,1830548040,28,
2026-08-26T17:05:12.560Z,post_gc,2,100,106,106,4054,4054,2635,11921757,green,288032656,4,post_gc_live_set
2026-08-26T17:05:32.803Z,immediate,3,150,156,156,6054,6054,3635,16675227,green,2053834640,31,
2026-08-26T17:05:37.095Z,post_gc,3,150,156,156,6054,6054,3635,16675227,green,258591848,4,post_gc_live_set
2026-08-26T17:05:57.740Z,immediate,4,200,206,206,8054,8054,4635,21428292,green,2183777384,33,
2026-08-26T17:06:02.034Z,post_gc,4,200,206,206,8054,8054,4635,21428292,green,251445224,3,post_gc_live_set
2026-08-26T17:06:23.943Z,immediate,5,250,256,256,10054,10054,5635,26181327,green,2386345960,37,
2026-08-26T17:06:28.261Z,post_gc,5,250,256,256,10054,10054,5635,26181327,green,251374256,3,post_gc_live_set
2026-08-26T17:06:48.927Z,immediate,6,300,306,306,12054,12054,6635,30934452,green,2583407280,40,
2026-08-26T17:06:53.219Z,post_gc,6,300,306,306,12054,12054,6635,30934452,green,255741128,3,post_gc_live_set
2026-08-26T17:07:14.978Z,immediate,7,350,356,356,14054,14054,7635,35687608,green,2768129224,42,
2026-08-26T17:07:19.341Z,post_gc,7,350,356,356,14054,14054,7635,35687608,green,256366872,3,post_gc_live_set
2026-08-26T17:07:41.523Z,immediate,8,400,406,406,16054,16054,8635,40440743,green,2991053080,46,
2026-08-26T17:07:45.912Z,post_gc,8,400,406,406,16054,16054,8635,40441034,green,269842816,4,post_gc_live_set
2026-08-26T17:08:10.780Z,immediate,9,450,456,456,18054,18054,9635,45194829,green,3197467008,49,
2026-08-26T17:08:15.128Z,post_gc,9,450,456,456,18054,18054,9635,45194829,green,270303504,4,post_gc_live_set
2026-08-26T17:08:37.094Z,immediate,10,500,506,506,20054,20054,10635,49948102,green,3407642896,52,
